"id","name","description","image","isActive","sortOrder","createdAt","updatedAt"
"cmn73wa64000sl0jqe890mvgw","Puja Essentials","Daily puja items",,"true","0","2026-03-26 06:43:32.093","2026-03-26 06:43:32.093"
"cmn73wa67000ul0jq607w3usg","Incense & Fragrance","Agarbatti and Dhoop",,"true","0","2026-03-26 06:43:32.095","2026-03-26 06:43:32.095"
"cmnk4o8m9006ql0g7fcwx2sdb","Idols & Murtis",,,"true","0","2026-04-04 09:26:16.737","2026-04-04 09:26:16.737"
"cmnk4p7wg006rl0g7zatoilx8","Abhishek Items",,,"true","0","2026-04-04 09:27:02.464","2026-04-04 12:04:04.039"
"cmnk4prbx006sl0g7joueptqv","Spiritual Items",,,"true","0","2026-04-04 09:27:27.646","2026-04-06 05:42:01.098"
"cmnk4rf32006tl0g7o8dsv5gt","Offerings (Prasad & Bhog Items)",,,"true","0","2026-04-04 09:28:45.086","2026-04-04 09:28:45.086"
